Yoast SEO;https://ru.wordpress.org/plugins/wordpress-seo/;”лучшите SEO вашего WordPress: поработайте над качеством контента и получите полностью оптимизированный WordPress-сайт с помощьюЕ;5+ млн активных установок;5.9.3
Jetpack предназначен дл€ защиты, резервного копировани€, повышени€ скорости работы и развити€ вашего сайта WordPress;https://ru.wordpress.org/plugins/jetpack/;ќбеспечьте дополнительную защиту сайта WordPress с помощью простых, но эффективных инструментов: резервного копировани€ и проверкиЕ;5+ млн активных установок;6.0
 онтактна€ форма WPForms Ч конструктор форм дл€ WordPress, позвол€ющий создавать формы путЄм перетаскивани€ элементов;https://ru.wordpress.org/plugins/wpforms-lite/;The best WordPress contact form plugin. Drag & Drop online form builder that helps youЕ;5+ млн активных установок;6.0
Advanced Editor Tools (ранее TinyMCE Advanced);https://ru.wordpress.org/plugins/tinymce-advanced/;–асшир€ет и улучшает редактор блоков (Gutenberg) и классический редактор (TinyMCE).;2+ млн активных установок;5.7.6
MC4WP: Mailchimp for WordPress;https://ru.wordpress.org/plugins/mailchimp-for-wp/;Mailchimp дл€ WordPress, неофициальный плагин Mailchimp є1.;2+ млн активных установок;5.9.3
Smush Ч Lazy Load Images, Optimize & Compress Images;https://ru.wordpress.org/plugins/wp-smushit/;—жимайте изображени€ и оптимизируйте изображени€ с помощью отложенной загрузки, преобразовани€ WebP и определени€ размера, чтобыЕ;1+ млн активных установок;5.9.3
Smash Balloon Social Photo Feed;https://ru.wordpress.org/plugins/instagram-feed/;–анее плагин называлс€ ЂInstagram Feedї. јккуратное отображение постов из нескольких учетных записей Instagram в видеЕ;1+ млн активных установок;5.9.3
Rank Math SEO Ч лучший плагин SEO дл€ WordPress, который увеличит ваш SEO-трафик;https://ru.wordpress.org/plugins/seo-by-rank-math/;Rank Math SEO Ч лучший WordPress SEO плагин, сочетающий в себе функции многих SEO инструментовЕ;1+ млн активных установок;6.0
Gutenberg Template and Pattern Library & Redux Framework;https://ru.wordpress.org/plugins/redux-framework/;Supercharge the Gutenberg editor with our library of Gutenberg block templates, layouts, and patterns!;1+ млн активных установок;6.0
Ninja Forms Contact Form Ч The Drag and Drop Form Builder for WordPress;https://ru.wordpress.org/plugins/ninja-forms/;The 100% beginner friendly WordPress form builder. Drag & drop form fields to build beautiful,Е;1+ млн активных установок;5.9.3
Smart Slider 3;https://ru.wordpress.org/plugins/smart-slider-3/;ѕлагин адаптивного слайдера дл€ простого создани€ слайдов в визуальном редакторе. —оздавайте красивые слайдеры изображений, слоЄв,Е;800†000+ активных установок;5.9.3
The Events Calendar;https://ru.wordpress.org/plugins/the-events-calendar/; алендарь меропри€тий Ч это плагин календар€ номер один дл€ WordPress. Ћегко создавайте и управл€йте меропри€ти€миЕ;800†000+ активных установок;5.9.3
WordPress ѕлагин дл€ Ўорткодов Ч Shortcodes Ultimate;https://ru.wordpress.org/plugins/shortcodes-ultimate/;ќбширна€ коллекци€ визуальных компонентов дл€ вашего сайта;700†000+ активных установок;6.0
Slider, Gallery, and Carousel by MetaSlider Ч Responsive WordPress Plugin;https://ru.wordpress.org/plugins/ml-slider/;Ћучший плагин слайдера, галереи и карусели дл€ WordPress. ќтзывчивый и простой в использовании с изображени€ми,Е;700†000+ активных установок;5.9.3
WordPress Gallery Plugin Ч NextGEN Gallery;https://ru.wordpress.org/plugins/nextgen-gallery/;—амый попул€рный плагин WordPress дл€ галерей и один из самых загружаемых плагинов за всю историюЕ;700†000+ активных установок;5.9.3
MailPoet Ч письма и рассылки в WordPress;https://ru.wordpress.org/plugins/mailpoet/;ќтправл€йте прекрасные рассылки из WordPress. —обирайте подписчиков с помощью форм подписки, автоматизируйте письма дл€ WooCommerce,Е;500†000+ активных установок;5.9.3
AMP;https://ru.wordpress.org/plugins/amp/;An easier path to great Page Experience for everyone. Powered by AMP.;500†000+ активных установок;6.0
